epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,3882.65,1.74844,1.89794,1.77179,0.33023,0.47299,0.30779,0.12288,2.13348,2.07249,2.12485,0.000775822,0.000775822,0.000775822
56,3953.74,1.71646,1.90163,1.74706,0.28641,0.47772,0.30018,0.12016,2.11475,2.06055,2.1676,0.000759318,0.000759318,0.000759318
57,4025.19,1.74671,1.89024,1.78255,0.36041,0.38659,0.30241,0.11851,2.13576,2.09093,2.17076,0.000742815,0.000742815,0.000742815
58,4097.03,1.74667,1.88091,1.77945,0.3051,0.50903,0.30847,0.12443,2.13199,2.06889,2.15983,0.000726312,0.000726312,0.000726312
59,4168.04,1.7087,1.85171,1.7577,0.29958,0.42603,0.29614,0.12279,2.14805,2.09078,2.17737,0.000709809,0.000709809,0.000709809
60,4239.16,1.74414,1.82085,1.77425,0.303,0.4151,0.30716,0.1294,2.11044,2.10035,2.13405,0.000693305,0.000693305,0.000693305
61,4310.46,1.69408,1.8462,1.74961,0.29279,0.48391,0.30964,0.12562,2.14006,2.08397,2.17886,0.000676802,0.000676802,0.000676802
62,4381.81,1.68658,1.83731,1.74702,0.30459,0.49022,0.3135,0.12677,2.11626,2.0613,2.1702,0.000660299,0.000660299,0.000660299
63,4452.66,1.70403,1.82374,1.74847,0.32122,0.43076,0.30252,0.12128,2.12067,2.03107,2.15571,0.000643795,0.000643795,0.000643795
64,4523.85,1.70133,1.83496,1.74309,0.28463,0.50915,0.31057,0.11953,2.15958,2.01552,2.22951,0.000627292,0.000627292,0.000627292
65,4594.92,1.67731,1.82607,1.74837,0.28713,0.45576,0.291,0.11247,2.13529,2.06643,2.18882,0.000610789,0.000610789,0.000610789
66,4665.48,1.66324,1.77466,1.71254,0.27683,0.50684,0.29058,0.11987,2.15786,2.11704,2.18329,0.000594286,0.000594286,0.000594286
67,4736.25,1.68697,1.80011,1.73026,0.32863,0.52235,0.32741,0.1353,2.16177,2.06549,2.222,0.000577782,0.000577782,0.000577782
68,4807.34,1.65242,1.79881,1.71586,0.34141,0.48391,0.30754,0.12746,2.17344,2.08152,2.227,0.000561279,0.000561279,0.000561279
69,4878.49,1.6437,1.7512,1.71472,0.37315,0.50418,0.32068,0.13061,2.17485,2.09486,2.20083,0.000544776,0.000544776,0.000544776
70,4949.64,1.63815,1.74892,1.68833,0.3116,0.45777,0.30005,0.11759,2.13614,2.12649,2.18767,0.000528272,0.000528272,0.000528272
71,5020.36,1.61842,1.73907,1.68321,0.29713,0.38695,0.28127,0.11202,2.21657,2.05296,2.2522,0.000511769,0.000511769,0.000511769
72,5091.49,1.64384,1.73156,1.72203,0.28856,0.43031,0.27671,0.10937,2.18273,2.10037,2.21767,0.000495266,0.000495266,0.000495266
73,5162.31,1.63137,1.74941,1.69345,0.28656,0.41204,0.29878,0.12221,2.16199,2.09139,2.20281,0.000478762,0.000478762,0.000478762
74,5233.49,1.63121,1.73824,1.67297,0.33618,0.36766,0.2889,0.11619,2.19136,2.13391,2.23681,0.000462259,0.000462259,0.000462259
75,5304.75,1.60503,1.72661,1.68349,0.33427,0.42129,0.29642,0.1195,2.19589,2.04639,2.25223,0.000445756,0.000445756,0.000445756
76,5375.27,1.61057,1.71002,1.68032,0.24515,0.47323,0.29561,0.11564,2.15046,2.10424,2.20886,0.000429253,0.000429253,0.000429253
77,5446.03,1.59343,1.67224,1.66162,0.25999,0.47942,0.29666,0.1171,2.21127,2.14658,2.26913,0.000412749,0.000412749,0.000412749
78,5516.85,1.56932,1.65906,1.64233,0.26917,0.4043,0.28817,0.1144,2.17033,2.10195,2.22726,0.000396246,0.000396246,0.000396246
79,5588.05,1.59661,1.69125,1.65657,0.32027,0.37747,0.28956,0.11546,2.18988,2.09089,2.2669,0.000379743,0.000379743,0.000379743
80,5658.68,1.58726,1.63654,1.65335,0.31681,0.33998,0.29279,0.11162,2.2082,2.13438,2.2474,0.000363239,0.000363239,0.000363239
81,5729.45,1.58279,1.62349,1.64019,0.35226,0.4295,0.29118,0.11162,2.20265,2.15638,2.25769,0.000346736,0.000346736,0.000346736
82,5801.04,1.56502,1.66577,1.63986,0.28413,0.38839,0.279,0.10793,2.20413,2.14298,2.28381,0.000330233,0.000330233,0.000330233
83,5873.17,1.58356,1.68572,1.66318,0.31885,0.39629,0.28295,0.10928,2.202,2.10038,2.28344,0.000313729,0.000313729,0.000313729
84,5944.33,1.55281,1.64118,1.62405,0.29341,0.44232,0.29367,0.10709,2.20407,2.11413,2.27754,0.000297226,0.000297226,0.000297226
85,6015.25,1.54576,1.61505,1.6229,0.33253,0.37245,0.29224,0.11042,2.20358,2.14685,2.28702,0.000280723,0.000280723,0.000280723
86,6085.97,1.55525,1.63777,1.6244,0.25132,0.47626,0.27899,0.10623,2.18583,2.19264,2.26298,0.00026422,0.00026422,0.00026422
87,6156.75,1.54221,1.60944,1.62503,0.35753,0.32882,0.27649,0.10834,2.18232,2.15604,2.26833,0.000247716,0.000247716,0.000247716
88,6227.63,1.54272,1.60167,1.62189,0.37205,0.38525,0.29707,0.11692,2.22458,2.10245,2.31213,0.000231213,0.000231213,0.000231213
89,6298.54,1.54309,1.63468,1.63881,0.33012,0.43379,0.29618,0.11736,2.20955,2.13886,2.3109,0.00021471,0.00021471,0.00021471
90,6369.37,1.51021,1.55483,1.61757,0.29781,0.48245,0.28973,0.1158,2.24132,2.14753,2.34409,0.000198206,0.000198206,0.000198206
91,6458.1,1.38125,1.2285,1.53745,0.27121,0.50755,0.29131,0.11618,2.21079,2.18183,2.30584,0.000181703,0.000181703,0.000181703
92,6528.1,1.36564,1.21224,1.52831,0.31691,0.42287,0.28663,0.11357,2.19859,2.21351,2.32616,0.0001652,0.0001652,0.0001652
93,6598.14,1.35721,1.19635,1.51761,0.26981,0.49653,0.28673,0.11406,2.21489,2.21413,2.33699,0.000148696,0.000148696,0.000148696
94,6669.03,1.32815,1.17804,1.50169,0.31228,0.38699,0.28045,0.11528,2.23559,2.2105,2.36498,0.000132193,0.000132193,0.000132193
95,6739.37,1.31276,1.16621,1.4892,0.26432,0.51612,0.28462,0.11653,2.21688,2.23256,2.35833,0.00011569,0.00011569,0.00011569
96,6809.82,1.30835,1.14789,1.49458,0.29512,0.49641,0.28553,0.11459,2.22218,2.23685,2.3786,9.91865e-05,9.91865e-05,9.91865e-05
97,6880.05,1.30924,1.14336,1.4806,0.2801,0.46049,0.28826,0.11445,2.22693,2.27163,2.38334,8.26832e-05,8.26832e-05,8.26832e-05
